City/province name (CN),City/province name (EN),Province,Year,"1.1. Total production capacity (10,000 cubic metres/day)","1.2. Of which how much is groundwater (10,000 cubic metres/day)",1.3. Number of plants (units),1.4. Of which how many are groundwater water treatment plants (units),"2.1. Total water supply volume / year (10,000 cubic metres/year)","2.2. Average supply per day (10,000 cubic metres/day)","2.3. Maximum supplied in a day (10,000 cubic metres/day)","3.1. Total Volume of water sold (10,000 cubic metres/year)","3.2. Of which Domestic/residential water (10,000 cubic metres/year)","3.3. Of which Administrative water (10,000 cubic metres/year)","3.4. Of which Industrial (10,000 cubic metres/year)","3.5. Of which Commercial (10,000 cubic metres/year)","3.6. Of which Special sectors (10,000 cubic metres/year)","3.7. Of which Other (10,000 cubic metres/year)",4. Water sold / water produced (%),5.1. Coverage rate of urban water supply (%),"5.2. Total city population (10,000s)","5.3. Total city population with water access (10,000s)",6.1. Average water use for all purposes (L/person*day),6.2. Average water use for residential/household/living purposes (L/person*day),7.1. Plants under construction (units),"7.2. Capacity of plants under construction (10,000 cubic metres/day)",8.1. Total pipe length (km),8.2. Of which are sourcing water (km),8.3. Of which are supplying water (km),8.4. of which how much length is for piping 75mm diameter and above (km),"9. Loss and leakage volume (10,000 cubic metres)",10. Loss and leakage rate (%),11. Pipe network density (km of pipe/square kilometer of network area）,12.1. Material: Ductile iron (km),12.2. Material: Steel piping (km),12.3. Material: Cast Iron (km),12.4. Material: PCCP (km),12.5. Material: Plastic (km),12.6. Material: Asbestos cement (km),12.7 Material: Other materials (km),13.1. Total number of water meters (units),13.2. Of which Domestic/residential,13.3. Of which Industrial,13.4. Of which Other,14.1. Overall rate of water that meets standard (%),14.2. turbidity rate meeting standard (%),14.3. Colour  rate of meeting standard (%),14.4. Odor  rate of meeting standard (%),14.5. Residual chlorine  rate of meeting standard (%),14.6. Bacterial contamination rate meeting standards (%),14.7. Total coliform contamination rate meeting standard (%),14.8. Oxygen demand (CODMn) meeting standard rate (%),15.1. Rate at which pressure in water distribution system meets the standard (%),15.2. Average pressure in water distribution system (Mpa),"16.1. Percentage of total water supply area is taken up by low pressure are, ratio (%)",16.2. Total water supply area (square km）,16.3. Total low pressure area (square km),"17.1. Total electricity use (10,000 kWh)","17.2. Electricity use for water production (1,000 kWh/1,000 cubic metre)","17.3. Electricity use for water distribution (1,000 kWh/1,000 cubic metre*Mpa)",18.1. Mixed flocculant consumption (kg),"18.2. Coagulant consumption per unit of water (kg / 1,000 cubic meters)",19.1. Total disinfectant consumption (kg),"19.2. Disinfectant consumption per unit water (kg / 1,000 cubic meters)","20.1. Original value (10,000 yuan)","20.2. Net worth (10,000 yuan)","21. Sales revenue (10,000 yuan)",22.1. Total profit,22.2. Net profit,Loss,23. Unit water sales cost (yuan / thousand m3),"24. Total wages (10,000 yuan)",25.1. Total employees (persons),25.2. Of which On-duty workers,25.3. Of which Other personel,25.4. Of which professional and technical personnel,27.1. Residential drinking water Current price or standard (yuan/cubic meter),27.2. Residential drinking water Original price or standard (yuan/cubic meter),28.1. Administrative water Current price or standard  (yuan/cubic meter),28.2. Administrative water Original price or standard (yuan/cubic meter),29.1. Industrial water Current price or standard (yuan/cubic meter),29.2. Industrial water Original price or standard (yuan/cubic meter),30.1. Business services water Current price or standard (yuan/cubic meter),30.2. Business services water Original price or standard (yuan/cubic meter),31.1. Special industry water Current price or standard (yuan/cubic meter),31.2. Special industry water Original price or standard (yuan/cubic meter),32.1. Unit average water Current price or standard (yuan/cubic meter),32.2. Unit average water Original price or standard (yuan/cubic meter)
德州,Texas,Shandong,2008,16.25,4.25,3,2,2182.17,5.98,7.13,1736.71,1167.64,,409.14,,,159.93,0.79586375,67,60,40,119,80,,,593.25,10,583.25,368.56,428.56,19.79,12.9,46,10,30,20,248,10,228.25,46372,42581,616,3175,99.5,97.2,100,100,98.8,100,100,100,96.6,0.19,,46,,521.18,238.83,3.27,201900,9.25,71000,3.25,9779.39,6246.73,2486.66,8.95,2020.14,,952.58,711,711,711,,240,1.4,0.9,1.9,1,1.9,1,2.3,1,2.3,1,1.43,1.48
乐陵,Leling,Shandong,2008,0.7,0.7,1,1,162,0.04,0.05,135,135,,,,,,0.833333333,75,9,6,0.08,0.08,,,95,,95,95,27,0.17,30,,,4,,91,,,200,200,,,90,100,100,100,100,95,100,100,100,0.3,,,,117,,110,,,5000,1.5,774,421,224,-17,-17,,1880,139,80,80,,24,1.65,1.4,,,2.35,2.2,,,,,,
禹城,Yucheng,Shandong,2008,1.5,1.5,2,2,334,0.91,1.3,242,216,11,6,9,,,0.724550898,92,13,12,65,60,,,61,2,59,61,75,22.5,2.25,,,45,,16,,,12966,12525,,441,100,100,100,100,100,100,100,100,100,0.36,,18,,149,446.1,,,,,,993,897,321,-43,-43,,1756,175,198,155,43,68,1.5,1,1.62,1.12,1.82,1.26,2.1,1.31,,,1.56,1.02
临沂,Linyi,Shandong,2008,15,,1,,2667,7.3,8.23,1808,951,329,67,183,20,258,0.677915261,87.57,54.39,47.63,103.71,65.05,,,303.8,45.8,258,257.23,859,32.2,6.79,48.8,33.8,95,50,30.8,,,18129,17287,28,814,99.8,99.6,100,100,100,100,99,100,100,0.19,,38,,568.91,76.07,686.88,1053140,36.62,,,11465,10463,2791,275.1,275.1,,1990,1051,391,391,,83,2.65,2.14,3.63,2.98,3.63,2.88,3.63,3.79,6.9,6.8,1.8,1.99
聊城,Liaocheng,Shandong,2008,13,13,3,3,1932,5.3,5.8,1703.24,959.66,259.62,243.93,240.03,,,0.881594203,99,39.8,39.4,118.44,101.47,,,496.12,78,418.12,344.12,228.76,11.84,,281.4,6,99,51.1,27.4,16,15.2,12812,11200,161,1451,100,100,100,100,100,100,100,100,100,0.27,,,,719,293.2,187.5,,,,,16162.71,12742.28,3492.55,-472.6,-554.46,,2180,483.7,266,263,3,65,1.7,,2.2,,2.5,,3.5,,10,,,
滨州,Binzhou,Shandong,2008,16.5,,2,,1840,5,6,1600,1070,,518,12,,,0.869565217,,,,,,,,203,30,173,203,400,18,10,170,,,,,,33,3200,3100,100,,99,98,99,100,99,99,99,,,,,,,1286,585,,,,11000,1.76,20498,141191,2849,-914,-914,,1582.8,502,285,285,,87,1.6,1.2,,,2,1.45,3.4,3,,,1.5,1.5
菏泽,Heze,Shandong,2008,15,,1,,1152,3,5,922,446,320,117,35,,4,0.800347222,63,38,25,101,50,,,166,15,151,166,230,20,,60,,83,,9,7,7,4147,3629,182,336,98,97,98,100,98,100,100,100,81,0.24,11,35,3.8,472,,,1547725,70.4,30000,1.4,4439,2722,1368,-75,-75,,1480,753,622,622,,64,2.3,2.11,2.5,2.33,2.6,2.41,2.7,2.7,4,2.92,2.56,2.39
郑州,Zhengzhou,Henan,2008,107,34,5,3,23788.65,65.17,75.72,18774.82,9843.86,1552.5,3851.85,3240.36,203.49,82.76,0.789234362,100,320,320,160.74,84.28,,,2336,116,2220,1806,4551,19.13,7.55,684.03,1.03,580.22,146,627.79,,180.93,508969,478764,1367,28838,99.84,99.86,100,100,99.7,99.8,100,100,99.96,0.35,,294,,5007.29,301.76,381.95,3019244.66,32.37,361309,2.47,192924.55,141230.72,34316.93,,,,2462.06,8776.93,3921,3921,,966,2.4,,3.05,,3.05,,4.05,,10.45,,1.77,
开封,Kaifeng,Henan,2008,57.5,7.5,3,2,6605,18.1,21.5,4508,2316,314,1528,329,21,,0.682513248,95.9,84.8,81.32,151.88,78.02,,,1028.01,21.9,1006.11,867.1,1456,22,10.8,63.76,1.22,614.33,27.86,284.98,1.45,12.51,107203,92265,844,14094,99.9,100,100,100,99.9,100,100,100,99.6,0.32,,95,,1146.53,173.58,367.33,551654.14,11.6,110689,2.34,25177.3,12306.3,4028.7,-2820.7,-2820.7,,1537,1702.2,1332,1332,,159,2,,2.35,,2.35,,3.35,,4.85,,0.8,
洛阳,Luoyang,Henan,2008,72,60,3,2,12645,34.55,39.7,10514,5783,542,2886,1241,62,,0.831474891,97.4,144.01,140.26,204.81,148.59,,,1291.6,127.02,1164.58,1001.02,2131,16.85,8.632,231.64,96.2,397.92,105.02,,,333.71,168693,143389,8434,16870,99.92,99.93,100,100,99.71,100,100,100,100,0.44,3.33,135,4.5,7070,542,377,27800,3.48,36200,2.27,141082,96818,14546,-1203,-1203,,1762.9,3855.8,1766,1766,,276,2.1,,2.55,,2.65,,3.15,,6.55,,,
平顶山,Pingdingshan,Henan,2008,46.7,5.4,4,2,7060.94,19.35,24.08,5045.71,2362.42,192.48,2161.07,292.38,37.36,,0.714594657,53,88,47,294.12,137.71,,,489.08,,467.15,461.44,2015.23,28.54,,39.09,10.9,321.83,,59.53,,35.78,98428,,1131,5878,100,100,100,100,100,100,100,100,99.25,0.31,10,50,5,2623.06,371.49,681.65,76400,1.08,196763,2.79,13923.6,6691.62,6943.75,-641.54,-641.54,,1556.7,2520.23,1874,1672,202,175,2.08,,2.6,,2.6,,3.75,,6.35,,1.38,
焦作,Jiaozuo,Henan,2008,25.1,20.3,5,4,4766.34,13.06,14.26,3062.47,1828.98,240.57,598.8,378.07,16.05,,0.642520257,100,75.3,75.3,111.43,66.55,1,7.8,576.71,6.24,576.71,418.77,1696,35.58,10.27,44.57,79.1,297.86,3.57,18.35,6.94,126.26,95204,89678,388,5138,99.6,100,100,100,100,100,100,100,100,0.32,,55.55,,3087,647.73,501.64,167,0.11,21433.8,0.45,20304.67,11314.57,4137.31,504.03,464.2,,1761.25,1184.55,877,692,185,126,2.1,,2.45,,2.55,,3.25,,6.35,,1.37,
鹤壁,Hebi,Henan,2008,15.65,0.65,3,1,2008,5.5,7.37,1489,953,59.6,278.4,193.5,4.5,,0.741533865,96,52.5,50.5,80.8,55,,,396.8,9.5,396.8,165.6,519,25.8,21,198.4,39.6,,,119.04,,39.68,60155,54520,3561,2074,98,86,100,99.4,99,100,100,100,98,0.17,40.39,40.85,16.5,510,224.38,212.1,,,2759.1,1.21,13101,7259,1920,-878,-878,,1906,773,552,552,,138,2.05,,2.45,,2.55,,3.15,,5.35,,1.29,
新乡,Xinxiang,Henan,2008,44,11,3,,5595.92,15.29,16.93,4360,2359.52,292.38,921,714.75,72.35,,0.779139087,100,90,90,132.36,71.63,,,629.22,87.39,541.83,367.22,1235.92,22.09,6.09,16.33,98.4,244.73,20.49,161.4,,0.48,136202,125856,577,9769,100,100,100,100,100,100,100,100,100,0.3,,89,,1628.57,279.91,387.62,391043,19.03,201172,3.45,16876.56,13766.74,8022.7,-449.04,-449.04,,1949.31,1730.4,1089,808,281,266,2.4,,3.15,,3.15,,3.85,,9.35,,1.84,
安阳,Anyang,Henan,2008,42,32,5,4,4268.4,11.69,13.69,3392.2,1756.56,335,654.13,618.07,4.83,23.6,0.794724018,84.3,106.7,90,103.3,82.5,,,644.01,20.3,669.46,473.33,876.14,20.53,6.1,194.18,3,288.39,11.28,,,152.61,104526,98551,544,5431,100,100,100,100,100,100,100,100,100,0.29,,105,,1356.2,317.7,471.9,,,20488,0.48,35099.2,23411.3,5453.6,,,,1931,1678.4,1094,1094,,79,2.25,,2.85,,2.85,,4.05,,7.35,,,
濮阳,Puyang,Henan,2008,12,3,1,,2457,6.71,10.19,2243,359,87,1481,197,24,95,0.912901913,83.43,17.5,14.6,420,104,,,206.91,71.59,135.32,198.043,214,8.71,9.67,11.37,7.3,38.13,19.48,51.04,,7.93,40610,37217,23,3370,99.8,100,100,100,100,100,100,100,99,0.3,,14,,120,213,288,359794,15.69,26506,2.23,14640,6213,4148,-830,-830,,2288.33,1289,592,582,,119,2.25,,2.95,,2.95,,4.15,,8.85,,,
许昌,Xuchang,Henan,2008,15,5,3,2,2385.86,6.54,8.6,1565.95,863.23,161.58,292.7,236.14,12.3,,0.656346139,90,40.5,36.5,117.5,77.8,,,208,70,138,208,653,27.37,3.3,30.7,8.8,51.7,86,29.5,,1.3,82998,78203,196,4599,99.35,99.15,100,100,99.57,100,100,100,100,0.3,,,,606.2,254.1,474.75,82221,4.66,29655.6,1.25,36818.39,30729.85,3638.29,-391.49,-391.49,,2570,843.78,554,554,,158,2.7,,3.85,,3.85,,4.55,,9.85,,2.32,
漯河,Luohe,Henan,2008,17,4,4,2,2370,6.49,9.15,1536,713,181,440,144,31,27,0.648101266,91.34,47.68,43.55,96.63,44.85,,,416.2,25.3,391.11,416.2,834,35.2,8.32,88.99,126.7,106.2,8.15,61.06,,,103371,93726,74,9571,99.63,100,100,100,97,100,100,100,100,0.28,,50,,796.1,336,,25545,1.08,34404,1.45,12130,8965,3610,-56,-56,,2452.7,884.64,509,509,,67,,,3.45,,3.15,,4.75,,9.15,,,
三门峡,Sanmenxia,Henan,2008,12.5,4,3,2,1570,4.3,5,1161,726,63,188,136,48,,0.739490446,99,28.8,28.5,111.6,82.8,,,138.2,18,122.47,126.2,409,26,4.45,15.73,4.3,107.1,8.2,2.78,,,15369,13716,1427,226,99.39,98.2,99.99,99.99,98.6,98,99.99,99.99,99,,4.9,27,1.32,915,582.73,,118275,10.89,38874,2.48,17747,5211,2250,-1163,-1163,,3041.7,923,454,454,,65,2.88,,4.03,,4.03,,4.83,,8.13,,1.94,
南阳,Nanyang,Henan,2008,32,32,4,4,3313,9.2,,2703,1116,92,919,362,214,,0.815876849,90,75,68,,110,,,383.2,,383.2,337.65,610,18.41,7.1,6.71,42,,,,,334.49,83522,81192,2330,,99,100,100,100,95,100,100,100,98,0.22,,,,2233,382,160,,,22000,0.5,9969,7872,4748,-994,-994,,2225.16,1927,1761,1585,,176,2.15,,3,,3,,4.2,,6.6,,1.58,
商丘,Shangqiu,Henan,2008,21,11,7,6,2003.12,5.49,6.92,1264,945,218,10,88,3,,0.631015616,44.83,87,39,88.8,81.7,,,486,25,486,461,641,32.05,5.6,20,60,123,,272,11,,90988,81981,20,8987,97.72,95.21,98.02,100,96,100,100,95.5,95,0.24,3,85,2.55,698.27,348.59,442.49,411500,27.69,72634,3.63,19607,16882,2033,-1330,-1330,,3061.91,1174,978,978,,167,2.15,,2.9,,2.9,,4.3,,8.6,,1.71,
信阳,Xinyang,Henan,2008,26,,2,,3489.7,9.6,11.1,2416.2,1099.8,656.8,219.5,414.8,25.3,,0.692380434,98,45,44.1,54.8,94.1,,,1163.44,6.06,1148.71,287.61,1073.5,30.75,20.48,8.67,3.2,62,124.54,473.65,,485.26,78382,77433,117,832,99.96,100,100,100,99.72,100,100,100,100,0.35,,56,,1145.4,328.2,460.64,21300,0.8,58665,1.5,25811,16414,2990.2,-3601.9,-3601.9,,2015.85,1039.7,667,667,,83,2.05,,2.2,,2.4,,3,,4.6,,,
周口,Zhoukou,Henan,2008,13.2,6.2,4,3,1569.9,4.3,6,917.94,630.3,149.61,9.44,72.28,6.68,49.63,0.584712402,83.29,23.7,19.74,127.4,126.09,,,219.11,15.1,204.01,219.11,651.96,41.53,8.08,2.88,53.3,72.01,43.15,46.65,,1.16,54527,50431,94,4002,99.75,100,99.5,99.5,99.5,100,100,99.5,,0.25,1.07,27.13,0.29,855,544.62,,53825,9.28,11000,1.25,6060,5675,1928,-327,-327,,2120,519,471,471,,25,2.1,,2.65,,2.85,,3.65,,6.35,,1.32,
驻马店,Zhumadian,Henan,2008,12,,1,,3428,9.39,9.6,2771,917,152,1567,60,,75,0.808343057,55,38.89,21.2,358,119,1,10,245,19.6,245,160,657,19.2,4.96,,9.6,31,205,,,,64887,56906,7981,,99.2,100,,,100,100,100,,98,0.22,,,,801,289,688,256456,,69212,2.49,20146,14087,3371,139,139,,778,455,608,608,,45,2.15,,2.75,,2.75,,4.25,,,,3.08,
济源,Jiyuan,Henan,2008,8,8,2,2,1113,3,3.3,862.1,560,120.7,84,97,0.4,,0.774573226,91,4.8,22.45,105.21,93.32,,,254.31,17,354.36,119.47,250.9,22.54,5.09,2.99,77.3,24.4,27,122.67,,,25521,24643,11,867,99.8,100,100,100,99,100,100,100,100,0.3,,50,,300,110,140,,,17500,0.36,3966,2527,824,-359,-359,,1740,273,231,215,16,27,1.7,,2.25,,3.2,,4.55,,,,,
偃师,Yanshi,Henan,2008,6.5,6.5,2,2,598,1.5,2.2,495,255,34,135,46,5,20,0.827759197,48,18,8.8,162,80,,,235,15,220,110,103,17,37,79,73,54,,14,,,4682,3843,47,792,100,100,100,100,100,100,100,100,100,0.32,0.3,18,0.05,313,252,417,,,920,0.3,4980,2687,855,-274,-274,,2281,277,186,181,5,68,1.95,,2.75,,3.15,,3.55,4.45,,1.72,,
登封,Dengfeng,Henan,2008,3.2,0.2,4,,560,1.5,1.8,420,196,138,,82,4,,0.75,91,16,14.5,77,38,1,1.5,188,46,142,102,100,17.85,9.1,16,20,37,38,10,,21,10111,6067,,4044,99.8,99,100,100,100,100,100,100,98,0.26,6.88,16,1.1,212,253,100,150000,25,12000,2,2387,1189,8347,-17,-17,,2026,308,268,253,15,58,2.05,,3.4,,3.6,,4,,3.7,,1.65,
义马,Yima,Henan,2008,13.3,,1,,726,2,3,520.73,41.66,10.58,466.05,7.05,,,0.717258953,62,14.9,7.2,62,58,,,55.5,4,51.5,52,210,2.93,5.3,21,4,24.5,,,,2,2165,1960,7,,98.43,99,99,98,98,99,98,98,95,0.3,8.2,8.5,0.7,238,265,,38120,5.25,2865,0.5,6320,4920,1780,-216,,,2837,204,82,72,10,72,3.8,,4.65,,4.25,,5.95,,,,4.24,
邓州,Dengzhou,Henan,2008,2.5,2.5,1,1,453,1.24,2.05,340,,,,,,,0.750551876,60,23,13.8,67.5,70.88,1,3,56.9,3,53.9,53.9,113,25,3.48,,1,48,,4.9,,,36200,35699,,501,99,99,98,98,100,99,99,98,95,0.34,5.16,15.5,0.8,325,430,287,,,4530,1,1525,808,691,-17,-17,,1643,227,327,327,,32,2.05,,2.7,,2.8,,4.4,,3.7,,2.03,
长葛,Changge,Henan,2008,3,3,1,1,387,1.1,1.6,272,186,26,27,33,,,0.702842377,0.69,19.62,13.6,54.7,42.7,,,81,8,73,83,115,29.71,5.95,,,52,,17,,4,15517,11831,369,3317,100,100,100,100,100,100,100,100,90,0.3,5,12,0.6,191,429,,,,,,1100,310,904,-101,-105,,2618.7,129,202,202,,24,2.65,,3.75,,3.45,,4.55,,,,1.33,
灵宝,Lingbao,Henan,2008,4,4,2,2,781,1.9,2.7,581,385,27,28,65,4,72,0.743918054,79,17.5,15.3,56,40,,,85,3,82,69,273,35,2.7,7.3,7,59.7,,11,,,23500,22540,95,865,100,100,100,100,100,100,100,100,95,0.24,13,19.3,2.5,495,657,,,,5400,0.72,2219,1001,737,7,5.4,,1537,148,131,131,,22,2,,2.75,,2.95,,3.55,,5.15,,1.47,
汝州,Ruzhou,Henan,2008,1.8,1.8,2,2,450.88,1.24,1.7,297,218.3,30,,38.9,1.8,8,0.658711852,83.2,13.7,11.4,130,76,,,220.66,7,213.66,51.38,153.88,34.12,27.82,4.97,140.5,36.22,,31.97,,,24420,21.6,,3358,99,100,,100,98,100,98,100,96,0.18,9.21,7.6,0.7,165.5,,367.7,,,9000,1,1194,669,379,-125,-125,,1686.86,164,122,120,2,28,1.77,,2.4,,,,2.6,,3.15,,1.49,
沁阳,Qinyang,Henan,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项城,City,Henan,2008,2,2,1,1,254,0.7,1.9,188,136,46,,6,,,0.74015748,50,18.5,9.2,56,41,,,343,11,332,80,66,26,39.8,,112,40,,180,,,22080,21675,,405,99.3,98,100,100,96,100,100,100,98,0.22,,8.6,,190,748,,,,5630,2.22,1280,1130,360,-46,-46,,2160,148,123,123,,20,2.88,,3.23,,3.23,,3.53,,5.43,,2.92,
荥阳,Xing Yang,Henan,2008,2.2,2.2,2,2,424,1.2,1.5,357,226,36,7,73,13,2,0.841981132,100,13,13,128,81,1,1,149,5,144,117,67,16,7.5,8,30,68,,28,,10,7621,6547,85,989,100,100,100,100,100,100,100,100,96,0.26,1.2,22,0.26,360,610,220,,,1250,0.34,2221,1202,558,-141,-142,,2000,290,158,158,,66,2.1,,3.15,,3.45,,3.75,,4.95,,1.56,
舞钢,Wugang,Henan,2008,1,1,1,,220,0.61,0.7,154,95,23,24,6,3,3,0.7,100,3.8,3.8,111,68.5,,,165,15,150,150,66,30,8.7,40,15,60,30,5,,,7488,7339,103,46,99,95,100,100,98,100,100,100,98,0.3,6.7,30,2,80,138,226,,,,2,498.86,363.13,273.92,-187.9,-187.9,,3320,169.83,103,103,,10,1.83,,2.2,,2.2,,3,,3,,,
林州,Linzhou,Henan,2008,5,2,3,2,764,2.09,2.3,548,304,105,4,118,17,,0.717277487,98.6,14,13.8,108.7,104.6,,,302,25,277,122,143,18.71,14.7,2.5,127,78,6.8,61.7,,,13953,11334,14,2605,99,98,98,100,100,100,100,98,100,0.26,,18,,15.71,20.4,,,,4774,0.62,3526,1580,878,-50,-50,,2770,491,255,255,,21,2.2,,2.65,,3.1,,3.8,,5.35,,1.75,
新郑,Xinzheng,Henan,2008,1.2,1.2,1,1,454,1.2,1.5,344,272,34,,33,5,,0.757709251,86,12.5,10.7,88,70,,,232,11,221,110,110,24,15,,62,38,7,114,,1,20101,16080,,4021,100,100,100,100,100,100,100,100,99,0.26,3.3,12,0.4,236,312,208,,,6826,1.5,2454,1748,643,-57,,,2860,189,226,189,37,60,2.35,,4.25,,4.25,,4.55,,5.75,,,
禹州,Yuzhou,Henan,2008,5.2,0.2,3,2,726,2,3,508,473,,28,7,,,0.699724518,85,23,19.5,71.3,66.5,1,1,445.2,1,444.2,176.9,218,30,9.8,,58.6,101.5,5.5,139.3,,139.3,13833,12497,53,1283,99,99,100,100,100,100,100,100,97.7,0.21,8.8,18,1.6,294,478,,8000,1.1,15.2,2.1,2331,1416,563,-85,-85,,1422,220,242,242,,21,1.95,,,,2.55,,2.65,,,,1.11,
巩义,Gongyi,Henan,2008,4,2.5,3,1,872,2.39,3.2,652,391.2,117.36,13.04,84.76,45.64,,0.747706422,78,18,14,128,125,,,141.5,6,135.5,135.5,220,25.23,9.68,2,,71,25,37.5,,,4700,2820,35,1845,99.96,99.7,100,100,100,100,100,100,100,0.36,7.14,14,1,228,77,247,52068,14,8137,1.15,3409,3087,1209,-22,-22,,1760,174,288,288,,61,1.85,,3.8,,3.8,,4.6,,6,,1.98,
新密,Xinmi,Henan,2008,5,4,6,5,1001,2.7,2.9,615,318,80,35,141,41,,0.614385614,99,15,14.8,114,74,,,237,15,222,160,386,39,5.3,,40,96,,86,,,20498,18490,46,1962,99.56,100,98,100,100,100,100,98,98,0.25,4,42,1.5,1181,445,730,7369,3.6,6400,0.8,2323,1018,1553,-57,,,3584,424,382,315,67,44,2.6,,3.85,,4.35,,4.65,,6.35,,2.42,
孟州,Mengzhou,Henan,2008,2,2,2,2,300,0.78,0.88,219,176,28.7,,13.7,0.6,,0.73,100,8,8,7,6,,,107,6,101,56.8,68,22.67,11.78,1.2,0.3,23.5,,,,76,9188,9185,3,,100,100,100,100,100,100,100,100,100,0.31,,,,131,458,,,,4270.5,1.95,1909,1729,145,-367,-367,,2790,50,53,53,,4,1.7,,2.1,,2.1,,2.6,,3.6,,0.93,
卫辉,Wei Hui,Henan,2008,5.5,,2,,1080,2.96,3.5,648,450,40,115,24,11,8,0.6,90,12.86,11.6,159,110,,,360,20,340,170,396,36.7,27.22,,50,40,75,145,,30,3944,3100,64,780,99,99,100,100,98,98,99,100,95,0.22,10,28,2.8,6,1,,109500,10,10950,1,1606,813.43,629.83,-5.51,-5.51,,2292,234.76,206,170,36,9,1.75,,1.7,,1.5,,1.9,,2.6,,1.47,
辉县,Huixian County,Henan,2008,5,5,2,2,494,1.35,1.8,314,243,30,,,,41,0.63562753,60,15,9,95,74,,,202.7,5.3,199.1,71.9,180,36,3.6,7.6,0.4,323.3,0.8,49.5,,107.5,12617,11656,,961,100,100,100,100,100,100,100,100,100,0.37,,22,,174,352,551.5,,,1482,0.3,768,273,364,-46,-46,,1600,175,135,135,,37,1.25,,2.55,,2.65,,2.75,,4.35,,1.23,
永城,Yongcheng,Henan,2008,3,3,1,1,369,1,1.2,287.77,241.21,28.78,,17.78,,,0.779864499,56,10,5.6,140.78,178.01,,,300.72,16.72,300.72,133.48,81.23,22,37.59,22.7,0.1,3,15.72,262.18,,,25138,21089,,4049,99,100,100,100,100,94,100,100,100,0.28,,8,,279,499,257,,,44280,1.2,4581,3871,400,-120,-120,,1370.57,156,98,98,,47,1.95,,,,2.4,,2.4,,,,,
武汉,Wuhan,Hubei,2008,,,8,,,,217,,,3533,6041,,381,5280,,100,419,419,,,,,,,,,,24.64,10.45,,,,,,,,,,14084,38444,99.75,100,100,100,99.49,100,100,100,99.39,,,570,,18984,229.7,380,17690,22.61,2392,3.06,301410,174022,60789,2115,2115,,1485,15957,,4835,,,1.1,0.7,1.5,0.8,1.65,1,2.35,1.7,4.8,1.9,1.4,0.9
武汉长供,Wuhan long supply,Hubei,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武钢,WISCO,Hubei,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
襄阳,Xiangyang,Hubei,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄石,Yellowstone,Hubei,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鄂州,Ezhou,Hubei,2008,18,,2,,3861.74,10.73,13,2972.39,2120,146.72,423.62,255.5,26.55,,0.769702259,100,106.94,39.74,207.77,166,,,58.93,2.1,56.83,,639.92,21.61,,32.58,6.11,2.1,0.65,17.48,,,43590,39540,252,3798,99.9,99,100,100,100,100,100,100,98.9,0.25,,,,949.12,246,369,700513,19.39,59072,1.64,23441.16,15734.63,3165.67,-778.12,-778.12,,1340.68,801.2,576,429,147,67,1.05,0.85,1.25,,1.15,0.85,1.6,1.3,1.9,,1.07,0.82
荆州,Jingzhou,Hubei,2008,71.5,,8,,8971.96,24.58,34.67,6103.9,3111.39,367.69,1579.38,839.07,37.31,151.36,0.680330719,100,68,68,245.92,172.22,,,1208.5,,1208.5,833,2868.06,31.97,12,22.8,35.43,461.5,87,293,,308.75,106518,98566,7962,,99.95,99.65,100,100,99.86,,100,100,99.89,0.29,1.41,,,1952.22,243.84,389.94,263.1,2.21,180.51,1.52,46312,43473,6314,1103,1103,,1130,1356,885,730,155,237,1.07,1.07,1.5,1.17,1.5,1.12,1.8,1.37,3,1.92,1.77,1.33
荆门,Jingmen,Hubei,2008,20,,3,,3649.4,10,12.83,2201.7,1100.85,192.28,476.84,291.75,39.98,100,0.603304653,75,40,30,201.07,148.39,,,325,33,292,325,1164.03,31.9,5.8,12,116,6,184,7,,,62316,57300,5016,,99.43,97,100,100,99,100,100,100,98,0.4,,44,,674.81,185,,,,63000,1.91,17206.26,8682.12,3099.46,-277.37,-277.37,,884.19,668.36,360,360,,406,0.98,0.85,1.1,,1.05,0.88,1.42,1.18,1.85,,,
恩施,Enshi,Hubei,2008,10,,2,,2431,6.66,6.9,1408,969,52,50,325,12,,0.57918552,100,24,24,160.73,110.6,,,204.19,6.15,198.04,204.19,765.77,31.5,12.01,73.19,25,80,13,3.5,,9.5,34014,32664,41,1309,100,100,100,100,100,100,100,100,95,1.94,17,0.5,,626,104.18,182.08,290051,20.6,25489,1.81,9008,6014,2240,18,18,,978,596,199,199,,67,1.6,1.25,1.6,1.45,1.85,1.4,1.9,1.58,2.4,1.8,1.69,1.36
